Id,firstName,lastName,salary,managerId
1,John,CEO,150000,
2,Grace,Clark,52803,1
3,Jack,King,68397,1
4,Helen,Martin,59988,1
5,Jack,Lopez,63955,3
6,Leo,Lee,62602,1
7,Vik,Martin,58605,1
8,Ian,Brown,93508,3
9,Vik,Brown,66349,3
10,Yuri,Wilson,70566,3
11,Helen,Hall,33491,3
12,Charlie,Brown,33259,11
13,Ian,Jones,105915,1
14,Vik,Wilson,45029,3
15,Alice,Taylor,92540,3
16,Yuri,Green,62975,3
17,Yuri,Clark,83279,1
18,Helen,Young,108451,15
19,Mia,Green,116243,3
20,Nina,Taylor,51722,1
21,Rose,Green,102355,3
22,Paul,Ward,80047,21
23,Xena,Clark,111662,3
24,Mia,Baker,104472,1
25,Jack,Lopez,95016,1
26,Sam,Green,97115,11
27,Sam,Wright,93899,21
28,Sam,Hill,58961,22
29,Leo,Lee,63202,15
30,Tina,Jones,59819,19
31,Xena,Baker,81896,29
32,Eva,Jones,107752,22
33,Paul,Scott,98763,29
34,Uma,Adams,119312,15
35,Mia,Taylor,95298,3
36,Helen,Clark,30639,29
37,Alice,King,95060,29
38,Frank,Wilson,81859,1
39,Karen,Scott,54818,15
40,Rose,Green,36667,1
41,Ian,Taylor,103614,21
42,Eva,Lopez,49593,19
43,Mia,Ward,37690,19
44,Frank,Ward,59498,37
45,Yuri,Cox,61197,29
46,Jack,Taylor,44706,19
47,Rose,Scott,62333,22
48,Alice,King,91959,19
49,Grace,Hall,30740,22
50,Mia,Hill,100214,49
51,Tina,Cox,60189,48
52,Quinn,Hall,120000,29
53,Leo,Young,106777,3
54,Uma,Taylor,43889,3
55,Oscar,Taylor,86243,37
56,Yuri,Jones,99148,22
57,Grace,Green,83482,11
58,Uma,Jones,92972,49
59,Walt,Ward,96374,22
60,Zara,Young,49878,22
61,Sam,Adams,90329,19
62,Sam,Clark,74747,29
63,Grace,Taylor,115994,11
64,Vik,Wilson,57935,22
65,Charlie,Lopez,89360,37
66,Nina,Ward,102531,59
67,Mia,Brown,84980,11
68,Helen,Smith,69737,3
69,Paul,Green,65331,57
70,Bob,Martin,85097,37
71,Quinn,Scott,37323,11
72,Walt,Hill,31903,1
73,Xena,Taylor,112549,1
74,Quinn,Martin,104907,15
75,Nina,Cox,91039,11
76,Sam,Wright,95866,57
77,Ian,Jones,30312,67
78,Zara,Hall,42972,29
79,Frank,Hall,50211,21
80,Alice,Green,84321,21
81,Leo,Taylor,39530,57
82,Uma,Baker,37691,67
83,Walt,Brown,40981,48
84,Sam,Smith,72902,1
85,Mia,Clark,50258,15
86,Quinn,Taylor,78775,65
87,Rose,Lee,32921,59
88,Xena,Taylor,109426,19
89,Xena,Lopez,61455,29
90,Eva,Lee,108956,22
91,Sam,Baker,69286,72
92,Oscar,Cox,105931,11
93,Zara,Lopez,116137,59
94,Yuri,Hill,70592,59
95,Mia,Ward,85438,57
96,Leo,Scott,58524,65
97,Xena,Smith,50979,77
98,Sam,King,58578,29
99,Grace,Lopez,93626,93
100,Zara,Cox,76939,22
